[12/7/2016 3:45:51 PM]	[LOG]	Uninstall service: "C:\Users\kuyu\Documents\Visual Studio 2015\Projects\CommonDaemon\CommonDaemon\bin\Release\CommonDaemon.exe"
[12/7/2016 3:45:53 PM]	[LOG]	Get watched process: "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat" with parmeters ""
[12/7/2016 3:45:53 PM]	[LOG]	Begin OnStart service
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
[12/7/2016 3:45:53 PM]	[WAR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat"
[12/7/2016 3:45:53 PM]	[ERR]	Cannot close process "D:\ELK\Src\elasticsearch-2.4.1\elasticsearch-2.4.1\bin\elasticsearch.bat", because "No process is associated with this object."
